kabupaten,komoditas,tahun,produksi_ton,luas_panen_ha,produktivitas_ton_per_ha
Kota Sukabumi,Cabai Besar/Keriting,2024,7.755,,
Kab. Bandung,Cabai Rawit,2015,13310.8,,
Kab. Bandung,Cabai Rawit,2016,9300.3,,
Kab. Bandung,Cabai Rawit,2017,58073.0,,
Kab. Bandung,Cabai Rawit,2018,18891.1,,
Kab. Bandung,Cabai Rawit,2019,21044.6,,
Kab. Bandung,Cabai Rawit,2020,21258.3,,
Kab. Bandung,Cabai Rawit,2021,23679.9,,
Kab. Bandung,Cabai Rawit,2022,30760.1,,
Kab. Bandung,Cabai Rawit,2023,27637.8,,
Kab. Bandung,Cabai Rawit,2024,37861.8,,
Kab. Cianjur,Cabai Rawit,2015,19713.5,,
Kab. Cianjur,Cabai Rawit,2016,14644.7,,
Kab. Cianjur,Cabai Rawit,2017,62442.5,,
Kab. Cianjur,Cabai Rawit,2018,22309.9,,
Kab. Cianjur,Cabai Rawit,2019,15101.2,,
Kab. Cianjur,Cabai Rawit,2020,15265.0,,
Kab. Cianjur,Cabai Rawit,2021,19843.6,,
Kab. Cianjur,Cabai Rawit,2022,18684.05,,
Kab. Cianjur,Cabai Rawit,2023,22015.15,,
Kab. Cianjur,Cabai Rawit,2024,19482.9,,
Kab. Cirebon,Cabai Rawit,2015,16.3,,
Kab. Cirebon,Cabai Rawit,2016,120.0,,
Kab. Cirebon,Cabai Rawit,2017,5716.5,,
Kab. Cirebon,Cabai Rawit,2018,14.0,,
Kab. Cirebon,Cabai Rawit,2019,23.0,,
Kab. Cirebon,Cabai Rawit,2020,37.7,,
Kab. Cirebon,Cabai Rawit,2021,31.919999999999998,,
Kab. Cirebon,Cabai Rawit,2022,17.3,,
Kab. Cirebon,Cabai Rawit,2023,22.29,,
Kab. Cirebon,Cabai Rawit,2024,94.35,,
Kab. Garut,Cabai Rawit,2015,31858.7,,
Kab. Garut,Cabai Rawit,2016,33720.2,,
Kab. Garut,Cabai Rawit,2017,153665.3,,
Kab. Garut,Cabai Rawit,2018,39130.4,,
Kab. Garut,Cabai Rawit,2019,45990.7,,
Kab. Garut,Cabai Rawit,2020,46206.0,,
Kab. Garut,Cabai Rawit,2021,46945.4,,
Kab. Garut,Cabai Rawit,2022,48427.9,,
Kab. Garut,Cabai Rawit,2023,65160.3,,
Kab. Garut,Cabai Rawit,2024,53357.2,,
Kab. Majalengka,Cabai Rawit,2015,3438.0,,
Kab. Majalengka,Cabai Rawit,2016,7966.7,,
Kab. Majalengka,Cabai Rawit,2017,19959.7,,
Kab. Majalengka,Cabai Rawit,2018,8107.7,,
Kab. Majalengka,Cabai Rawit,2019,7782.8,,
Kab. Majalengka,Cabai Rawit,2020,6700.4,,
Kab. Majalengka,Cabai Rawit,2021,8869.7,,
Kab. Majalengka,Cabai Rawit,2022,6977.6,,
Kab. Majalengka,Cabai Rawit,2023,4541.4400000000005,,
Kab. Majalengka,Cabai Rawit,2024,6279.9400000000005,,
Kab. Sumedang,Cabai Rawit,2015,3284.3,,
Kab. Sumedang,Cabai Rawit,2016,4115.2,,
Kab. Sumedang,Cabai Rawit,2017,8590.6,,
Kab. Sumedang,Cabai Rawit,2018,2757.8,,
Kab. Sumedang,Cabai Rawit,2019,3324.1,,
