date,province,regency,commodity,price_type_id,price_type,nominal_price,source_level,responder_name
2019-04-19,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-22,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-23,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-24,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-25,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-04-26,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-04-29,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-04-30,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-01,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-02,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-03,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-06,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-07,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-08,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-09,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-10,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-13,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-14,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-15,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-16,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-17,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-20,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-21,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-22,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-23,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-24,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-27,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-28,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-29,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-30,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-05-31,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-03,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-04,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-05,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-06,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-07,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-10,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-11,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-12,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-13,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-14,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-17,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-18,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-19,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-20,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-21,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-24,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,15350.0,kabupaten,
2019-06-25,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
