date,province,regency,market,commodity,price_type_id,price_type,nominal_price
2024-08-27,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-08-28,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-08-29,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-08-30,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-02,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-03,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-04,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-05,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-06,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-09,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-10,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-11,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-12,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-13,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-16,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-17,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-18,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-19,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-20,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-23,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,32250.0
2024-09-24,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-09-25,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-09-26,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-09-27,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-09-30,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-01,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-02,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-03,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-04,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-07,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-08,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-09,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-10,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-11,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-14,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-15,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-16,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-17,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-18,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-21,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-22,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-23,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-24,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,23000.0
2024-10-25,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,20500.0
2024-10-28,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,20500.0
2024-10-29,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,20500.0
2024-10-30,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,20500.0
2024-10-31,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,20500.0
